Loop/Rec Name,Field Name,Description,Type,Dec,Format,Start,End,Length,Occ,Mapped,Default Value,Correlation,Comments,Spec Logic
,L106,,N,,N2,51,65,15,O,,,,,
,L1_FLR7,,AN,,,66,66,1,O,,,,,
,L107,,AN,,,67,80,14,O,,,,,
,L1_FLR8,,AN,,,81,81,1,O,,,,,
,L108,,AN,,,82,84,3,O,,,,,
,L1_FLR9,,AN,,,85,85,1,O,,,,,
,L109,,AN,,,86,88,3,O,,,,,
,L1_FLR10,,AN,,,89,89,1,O,,,,,
,L110,,AN,,,90,90,1,O,,,,,
,L1_FLR11,,AN,,,91,91,1,O,,,,,
,L111,,AN,,,92,92,1,O,,,,,
,L1_FLR12,,AN,,,93,93,1,O,,,,,
,L112,,AN,,,94,118,25,O,,,,,
,L1_FLR13,,AN,,,119,119,1,O,,,,,
,L113,,AN,,,120,120,1,O,,,,,
,L1_FLR14,,AN,,,121,121,1,O,,,,,
,L114,,N,,N2,122,133,12,O,,,,,
,L1_FLR15,,AN,,,134,134,1,O,,,,,
,L115,,AN,,,135,136,2,O,,,,,
,L1_FLR16,,AN,,,137,137,1,O,,,,,
,L116,,AN,,,138,138,1,O,,,,,
,L1_FLR17,,AN,,,139,139,1,O,,,,,
,L117,,N,,R,140,150,11,O,,,,,
,L1_FLR18,,AN,,,151,151,1,O,,,,,
,L118,,AN,,,152,153,2,O,,,,,
,L1_FLR19,,AN,,,154,154,1,O,,,,,
,L119,,N,,R,155,164,10,O,,,,,
